Cruise,Station,Date,Longitude,Latitude,BottomDepth,Depth,Temperature,Salinity,Oxygen,PDA,Nits,Phosphate,Silicate,COD,AOU,WaterMassNo
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,50.666,23.0071,36.549,4.2102,25.112724,0.58,0.06,1.28,75.5,27.8823,1
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,73.511,21.7508,36.6245,3.6239,25.530216,4.76,0.16,2.54,82.6,58.1084,2
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,495.193,7.9611,34.9837,2.7449,27.278918,30.93,1.88,19.23,51.1,168.9351,5
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,595.278,6.9594,34.9258,2.9749,27.378388,32.41,1.99,18.14,57.9,165.8061,5
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,792.333,5.72,34.9127,3.5624,27.532565,18.88,1.34,15.8,49.1,149.0716,5
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,1188.85,4.4807,34.9568,4.5507,27.715138,24.92,1.71,24.92,46.7,115.3542,6
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,1975.712,4.275,34.9714,4.8718,27.757132,23.29,1.37,23.89,48,103.482,6
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,2468.239,4.3052,34.9729,4.8932,27.760921,15.71,1.1,16.29,58.1,102.7176,6
2,23,2013-02-24T11:22,-88.0148,25.0366,3426,3397.152,4.4026,34.9747,4.9133,27.763472,16.52,1.18,17.02,53.7,101.9308,6
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,8.942,26.5917,35.9097,4.5519,23.535679,0.02,0.1,2.69,94.3,1.1351,1
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,49.672,25.8039,36.0061,4.5838,23.859239,0,0.07,2.36,86.8,2.3137,1
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,100.326,25.7437,36.1553,4.524,23.994269,0,0.1,2.18,86.4,4.992,1
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,148.981,25.4628,36.419,4.149,24.284116,0.72,0.1,2.47,97.8,22.0251,1
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,398.034,16.0783,36.1563,3.4999,26.640172,13.51,0.82,5.15,62.2,88.6892,3
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,695.314,9.2825,35.0834,2.7634,27.156355,28.87,1.74,15.84,47.1,159.6555,4.5
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,802.23,7.7636,34.9371,2.8691,27.277392,31.44,1.65,19.88,45.1,165.1318,5
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,1002.056,6.1643,34.8992,3.4082,27.468994,29.88,1.82,22.98,40.5,152.7941,5
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,1200.704,4.7175,34.9474,4.3312,27.681812,26.21,1.7,25.45,49.3,123.1596,6
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,1999.332,4.2785,34.9715,4.8595,27.757099,23.82,1.46,24.54,44.5,104.0096,6
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,2499.659,4.3069,34.9732,4.8855,27.761183,23.25,1.67,24.35,43.4,103.0661,6
2,24,2013-02-24T19:40,-87.00024,25.03788,3342,3302.286,4.3885,34.9757,4.9286,27.764343,18.15,1.24,18.34,50,101.2795,6
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,9.936,26.8721,35.8106,4.4941,23.371678,0,0.12,2.05,78.5,2.8382,1
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,18.878,26.8712,35.8099,4.4938,23.372055,0,0.08,4.99,67.5,2.8618,1
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,48.682,25.9213,36.0732,4.5642,23.873157,0.22,0.12,1.86,59.8,2.6919,1
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,73.516,25.7021,36.1436,4.5287,23.99644,0.12,0.08,2.04,64,4.9218,1
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,99.34,25.6892,36.1682,4.5332,24.020909,0.16,0.12,2.04,66.2,4.7612,1
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,148.991,23.8128,36.8101,3.729,25.080266,2.81,0.2,2.83,54.3,45.6641,1
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,249.251,19.3078,36.6614,3.7285,26.228313,6.54,0.35,5.84,50.7,63.4869,2
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,298.867,17.6772,36.4241,3.7071,26.460982,9.62,0.57,4,51.4,71.846,3
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,401.037,15.3426,36.0219,3.3254,26.703544,16.29,0.86,5.62,43.9,100.0306,3
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,644.852,9.6888,35.1472,2.6972,27.138215,29.28,1.66,15.84,41.5,159.8866,4.5
2,27.1,2013-02-25T04:56,-86.81113,24.02905,1185,792.389,7.3135,34.917,2.9417,27.325688,32.11,1.96,21.01,44.9,165.0042,5
